,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
337,Hippocampal formation,167054.884174,108330.476722,58724.4074526,99853.2336254,8025.58959728,451.653498947,12818.9051791,24832.6105203,21072.8917532,HPF
338,Hippocampal region,183898.259701,125376.773844,58521.4858577,116566.593807,8303.81526119,506.364775643,13759.1664708,22211.426336,22550.8930509,HIP
339,Ammon's horn,162819.026524,107838.201502,54980.8250228,98625.0079451,8688.98486492,524.208691493,12004.4686671,23082.5572238,19893.7991319,CA
340,Field CA1,139985.421923,91055.5124718,48929.9094514,81359.2418235,9338.94028595,357.330362377,9944.31640689,19209.3905534,19776.2024911,CA1
341,Field CA1 stratum lacunosum-moleculare,79091.3009142,39585.2708509,39506.0300633,19066.1901511,20365.310739,153.769960781,10684.2281385,11220.067194,17601.7347308,CA1slm
342,Field CA1 stratum oriens,117626.63481,62130.493949,55496.1408612,58110.2581416,3657.90266452,362.333142887,8103.63060302,29396.1876071,17996.322651,CA1so
343,Field CA1 pyramidal layer,301639.95112,227129.873727,74510.0773931,224103.234216,2270.10997963,756.529531568,13666.5417515,34321.2057026,26522.3299389,CA1sp
344,Field CA1 stratum radiatum,92485.3691572,56624.3524892,35861.016668,48321.353346,8051.08217929,251.916963817,7786.78165685,10132.5814744,17941.6535368,CA1sr
345,Field CA2,153575.923949,103455.442021,50120.4819277,92146.2050735,10775.6596004,533.577347364,12109.6029688,17775.6087642,20235.2701947,CA2
346,Field CA2 stratum lacunosum-moleculare,73028.9362579,36016.8880651,37012.0481928,12574.6061168,23218.206158,224.075790341,10366.8005355,11566.2650602,15078.9825971,CA2slm
347,Field CA2 stratum oriens,111213.918372,59118.9408032,52094.9775687,53271.4739031,5301.23645913,546.230440967,9762.1183937,26485.1734325,15847.6857424,CA2so
348,Field CA2 pyramidal layer,405413.233458,326116.798446,79296.4350118,322911.915661,2121.79220419,1083.09058122,20125.953669,26047.4406991,33123.0406436,CA2sp
349,Field CA2 stratum radiatum,104930.512685,62419.6341188,42510.8785666,51824.4372506,10142.2871339,452.909734247,10648.1969435,11833.4713544,20029.2102688,CA2sr
350,Field CA3,200826.312426,135494.223764,65332.0886622,127305.308601,7395.8437015,793.071461595,15324.8621095,29962.7599895,20044.4665632,CA3
351,Field CA3 stratum lacunosum-moleculare,79358.8789139,40765.49157,38593.387344,15765.2726078,24621.8524195,378.366542588,11645.2813663,11350.9962776,15597.1097,CA3slm
352,Field CA3 stratum lucidum,204532.914266,134995.634713,69537.279553,132232.582504,1977.99895233,785.053256504,16530.8189279,28806.7050812,24199.7555439,CA3slu
353,Field CA3 stratum oriens,117535.338387,59906.8372395,57628.5011476,54234.113957,5061.73358816,610.989694304,11615.2418227,31169.2529971,14844.0063279,CA3so
354,Field CA3 pyramidal layer,405921.074562,307538.840139,98382.2344233,300683.602137,5486.07284671,1369.16515515,22300.073533,45336.1831462,30745.977744,CA3sp
355,Field CA3 stratum radiatum,88271.3936916,47779.2643468,40492.1293447,35037.5766719,12313.5557893,428.131885583,12182.7024237,14196.9549596,14112.4719614,CA3sr
356,Dentate gyrus,233178.783669,166568.722124,66610.0615452,158671.894186,7434.19755483,462.630383315,17853.6277889,20035.7521954,28720.6815609,DG
357,Dentate gyrus molecular layer,116656.361733,69516.9504014,47139.4113313,61552.1309187,7657.81207585,307.007406833,13837.9183309,12339.8611704,20961.63183,DG-mo
358,Dentate gyrus polymorph layer,261339.774148,171897.879192,89441.8949554,165931.651094,5252.99264815,713.235449904,22651.3273586,32035.9329647,34754.6346321,DG-po
359,Dentate gyrus granule cell layer,546870.387766,437188.159476,109682.228291,428487.515019,7928.86947023,771.774986346,26691.2506827,35526.116876,47464.8607318,DG-sg
360,Fasciola cinerea,197827.18232,127589.834254,70237.3480663,119626.961326,7227.40331492,735.46961326,17905.8563536,25020.1104972,27311.3812155,FC
361,Induseum griseum,166378.648874,97227.6897415,69150.9591326,91756.4637198,5070.89241034,400.333611343,7953.29441201,39552.9608007,21644.7039199,IG
362,Retrohippocampal region,149736.060691,90803.003655,58933.0570358,82668.095508,7739.51029244,395.397854576,11852.1025739,27527.7844261,19553.1700357,RHP
363,Entorhinal area,143800.969744,91110.0292343,52690.9405095,85300.0038137,5527.90282046,282.122600134,9833.21826338,23950.7947717,18906.9274744,ENT
364,Entorhinal area lateral part,139734.790926,88043.9901612,51690.8007652,84613.9819623,3130.56026237,299.447936595,6974.29170083,26602.0078346,18114.5012298,ENTl
365,Entorhinal area lateral part layer 1,74983.9524652,49894.280401,25089.6720642,46729.5505057,3133.95926883,30.7706263891,8214.59609017,8544.3643126,8330.71166145,ENTl1
366,Entorhinal area lateral part layer 2,214716.242661,140477.495108,74238.7475538,139005.870841,1346.37964775,125.244618395,172.211350294,50348.3365949,23718.1996086,ENTl2
367,Entorhinal area lateral part layer 2/3,198390.576109,138808.025032,59582.5510768,135821.82956,2509.1109884,477.084483711,5395.17761826,24131.0509847,30056.3224738,ENTl2/3
368,Entorhinal area lateral part layer 2a,155585.197235,109243.323844,46341.8733903,106151.552121,2974.65094212,117.120780805,10609.1907279,20244.5438525,15488.1388098,ENTl2a
369,Entorhinal area lateral part layer 2b,171509.359763,117274.846135,54234.513628,114223.962913,2861.60978339,189.273439373,8733.17880265,27653.3610423,17847.9737831,ENTl2b
370,Entorhinal area lateral part layer 3,148466.582217,92160.981789,56305.6004277,89206.6893674,2719.25807989,235.034341697,5727.84640952,27216.3817449,23361.3722733,ENTl3
371,Entorhinal area lateral part layer 4,127106.195185,75315.5689626,51790.626222,71109.3235015,3891.62616614,314.619295011,4585.21870287,29046.86889,18158.5386291,ENTl4
372,Entorhinal area lateral part layer 4/5,151814.064719,87780.5844107,64033.4803079,85011.2846573,1932.2920559,837.007697482,4888.12495329,39176.7431433,19968.6122113,ENTl4/5
373,Entorhinal area lateral part layer 5,138908.872123,80751.0679518,58157.8041707,76853.4469273,3473.28014632,424.340878187,5205.29944767,32111.2835878,20841.2211352,ENTl5
374,Entorhinal area lateral part layer 6a,173894.063411,100087.147024,73806.9163878,96152.6820155,3254.92251657,679.542491566,7001.00802387,42873.1099552,23932.7984087,ENTl6a
375,Entorhinal area lateral part layer 6b,175770.793244,106735.086594,69035.7066496,99954.6717982,5925.16570451,855.249091298,1566.81633526,53613.8550353,13855.035279,ENTl6b
376,Entorhinal area medial part dorsal zone,151409.979801,95910.7416763,55499.2381251,83193.6174629,12471.866315,245.25789844,17147.9657182,17275.2924739,21075.9799331,ENTm
377,Entorhinal area medial part dorsal zone layer 1,83919.5768756,58111.0517295,25808.525146,48977.4616221,9087.59191346,45.9981939812,18659.934025,1813.98006008,5334.61106094,ENTm1
378,Entorhinal area medial part dorsal zone layer 2,178382.684482,122512.046674,55870.6378075,108068.42655,14241.9418734,201.678251161,22829.9780315,14595.7431483,18444.9166277,ENTm2
379,Entorhinal area medial part dorsal zone layer 2a,160635.761589,120310.312204,40325.4493851,107837.275307,12351.9394513,121.097445601,27489.1201514,1271.52317881,11564.8060549,ENTm2a
380,Entorhinal area medial part dorsal zone layer 2b,171629.62963,121111.111111,50518.5185185,102666.666667,18444.4444444,0.0,30888.8888889,2592.59259259,17037.037037,ENTm2b
381,Entorhinal area medial part dorsal zone layer 3,181545.225225,114260.18018,67285.045045,102730.09009,11296.5765766,233.513513514,13316.036036,21089.7297297,32879.2792793,ENTm3
382,Entorhinal area medial part dorsal zone layer 4,146162.862231,74288.489558,71874.3726728,65802.8169014,8123.03707301,362.635583617,13127.4081269,28409.9077222,30337.0568237,ENTm4
383,Entorhinal area medial part dorsal zone layer 5,166724.76286,87774.8129868,78949.9498728,71536.6700085,15764.3248246,473.818153775,11149.533431,34643.016889,33157.3995527,ENTm5
384,Entorhinal area medial part dorsal zone layer 6,179821.699511,93694.4830992,86127.2164115,75273.3312385,17708.6681331,712.483727611,10520.6266553,42145.7108228,33460.8789334,ENTm6
385,Entorhinal area medial part ventral zone,195780.282494,143504.636895,52275.6455985,141842.773577,1538.59323727,123.270081324,18691.3967756,14217.1493794,19367.0994436,ENTmv
386,Entorhinal area medial part ventral zone layer 1,126146.845915,89717.2403605,36429.6055547,88544.8367558,1125.12926577,47.2743388979,15354.705274,8358.10311715,12716.7971635,ENTmv1
387,Entorhinal area medial part ventral zone layer 2,265315.170741,199547.676805,65767.4939354,197302.481806,2042.17204702,203.022952043,22511.6626236,17722.7094607,25533.1218511,ENTmv2
388,Entorhinal area medial part ventral zone layer 3,250838.127468,179943.598421,70894.5290468,178247.038917,1552.1714608,144.388042865,20358.714044,25773.2656514,24762.5493514,ENTmv3
389,Entorhinal area medial part ventral zone layer 5/6,205128.205128,136205.128205,68923.0769231,133470.08547,2188.03418803,547.008547009,11487.1794872,17504.2735043,39931.6239316,ENTmv5/6
390,Parasubiculum,154533.373099,98243.72204,56289.6510588,78628.5714286,19276.3495377,338.801073665,20893.0509991,18467.998807,16928.6012526,PAR
391,Parasubiculum layer 1,91089.7234833,63017.4164259,28072.3070574,47142.8807264,15768.8815518,105.654147751,18045.7284358,2044.40775898,7982.17086257,PAR1
392,Parasubiculum layer 2,177072.33854,120456.408552,56615.9299878,99408.4413426,20759.0561648,288.911044644,25363.9082752,14541.2650936,16710.756619,PAR2
393,Parasubiculum layer 3,152132.929872,78320.7517121,73812.17816,59046.3449594,18690.0249509,584.381801773,14154.2708499,36557.838297,23100.0690131,PAR3
394,Postsubiculum,172235.184683,104468.508973,67766.6757102,99037.4016511,4947.40513934,483.702182086,16571.1406535,25783.8068292,25411.7282276,POST
395,Postsubiculum layer 1,124184.819433,72691.4149787,51493.4044547,67238.5208679,5069.99207093,382.902039934,16335.6159446,18942.1177827,16215.6707273,POST1
396,Postsubiculum layer 2,206515.529494,136329.573125,70185.9563683,129765.144362,6026.93435372,537.494409382,18968.1459027,22167.6688367,29050.141629,POST2
397,Postsubiculum layer 3,170916.278541,93091.9004885,77824.3780529,88973.3045553,3616.94876747,501.647165739,14017.0396456,35307.9631944,28499.375213,POST3
398,Presubiculum,170300.829771,102713.804375,67587.025396,96279.2054312,5993.6635655,440.935378426,18261.0007543,27506.1604224,21819.8642193,PRE
399,Presubiculum layer 1,121559.431969,75855.9284556,45703.5035133,72415.5078375,3122.79494865,317.6256695,21353.2504545,14453.5403666,9896.71269225,PRE1
400,Presubiculum layer 2,204130.387224,133129.730912,71000.6563115,126629.621527,6020.56442792,479.54495734,20265.1498578,24791.0741632,25944.4322905,PRE2
401,Presubiculum layer 3,159463.861014,77707.6168162,81756.2441979,68685.204014,8532.95610274,489.456699527,12239.2467177,43638.0354538,25878.9620264,PRE3
402,Subiculum,153879.261942,83717.7411449,70161.5207969,71801.7664202,11277.7106054,638.26411933,12373.8061216,37685.5320502,20102.1826252,SUB
403,Subiculum dorsal part,151036.774052,74802.7175104,76234.0565417,67499.4521148,6525.53144861,777.733946965,13186.412448,38512.9081744,24534.7359194,SUBd
404,Subiculum dorsal part molecular layer,93429.3628809,40965.8806837,52463.4821971,34034.4571313,6477.40017566,454.023376799,11614.3503817,25602.5944193,15246.5373961,SUBd-m
405,Subiculum dorsal part pyramidal layer,181791.10455,92609.8864736,89181.218076,85187.8022705,6519.5744031,902.509799929,14405.4031122,46247.3824433,28528.4325205,SUBd-sp
406,Subiculum dorsal part stratum radiatum,96292.0707359,43511.2378779,52780.832858,36293.4398175,6586.19509412,631.602966343,10415.9726184,23413.1203651,18951.7398745,SUBd-sr
407,Subiculum ventral part,154936.536337,87033.7187644,67902.817573,73402.0289134,13045.302075,586.38777598,12071.5540466,37377.7862916,18453.4772348,SUBv
408,Subiculum ventral part molecular layer,72499.7721464,37389.8674486,35109.9046977,22050.2070496,15144.379941,195.280458085,13513.6613105,13566.9196172,8029.32377009,SUBv-m
409,Subiculum ventral part pyramidal layer,190650.869786,107948.796598,82702.0731879,93872.8713621,13314.5465322,761.37870354,12132.7866749,47301.6784695,23267.6080435,SUBv-sp
410,Subiculum ventral part stratum radiatum,100986.387367,57649.4026457,43336.9847218,49107.4597226,8240.60728356,301.335639473,9419.30111143,23848.5634669,10069.1201435,SUBv-sr
411,Cortical subplate,145370.95096,80765.8453821,64605.1055783,72311.7744324,7803.09892112,650.972028546,9287.81801933,43267.8118888,12049.4756701,CTXsp
412,Claustrum,147921.813718,76580.2110902,71341.6026275,71847.7089379,4141.70466503,590.797487325,8942.57198431,46239.3418577,16159.6887854,CLA
413,Endopiriform nucleus,122920.09823,59025.9914426,63894.1067873,49996.08706,8451.7645966,578.139786007,3882.00802327,50824.2834501,9187.81531388,EP
414,Endopiriform nucleus dorsal part,126887.372261,61151.3573496,65736.0149116,52449.9307364,8097.07061989,604.355993298,4078.24251699,51742.9920437,9914.78035089,EPd
415,Endopiriform nucleus ventral part,107004.946174,50499.8545243,56505.0916497,40152.2257783,9874.65813209,472.970613907,3094.79196974,47138.7838231,6271.51585685,EPv
416,Lateral amygdalar nucleus,163288.269668,101419.479956,61868.7897114,96634.4637526,4303.24836051,481.767843017,8650.59072699,26724.2338411,26493.9651433,LA
417,Basolateral amygdalar nucleus,152893.979003,87135.8977551,65758.0812482,76831.0718287,9585.79194157,719.033984813,10399.7676252,38562.2639944,16796.0496286,BLA
418,Basolateral amygdalar nucleus anterior part,160292.568571,90429.9445182,69862.6240525,74422.44276,14966.007658,1041.49410018,12870.5165273,40825.8185512,16166.288974,BLAa
419,Basolateral amygdalar nucleus posterior part,156105.889596,92377.31719,63728.5724058,89269.0334496,2788.69963746,319.58410288,7035.22812778,36936.0421369,19757.302141,BLAp
420,Basolateral amygdalar nucleus ventral part,123299.185974,66981.5904822,56317.5954915,61779.8371947,4784.97182217,416.781465247,8640.2003757,34284.2830307,13393.1120852,BLAv
421,Basomedial amygdalar nucleus,152219.359101,90465.8077304,61753.551371,80137.4297985,9392.79814998,935.579781962,15052.9677348,43145.0280806,3555.55555556,BMA
422,Basomedial amygdalar nucleus anterior part,143925.364899,78130.912374,65794.4525255,56722.6764308,20050.3586297,1357.87731354,7701.05833375,58093.3941917,0.0,BMAa
423,Basomedial amygdalar nucleus posterior part,155356.41517,95131.2629242,60225.1522453,88993.6445903,5361.76509647,775.853237465,17833.6969513,37491.0739694,4900.38132458,BMAp
424,Posterior amygdalar nucleus,234244.340281,174466.540341,59777.7999402,167834.845916,6194.47491772,437.21950733,31814.8997706,24461.9527276,3500.94744191,PA
425,Cerebral nuclei,118555.333091,61940.1920586,56615.1410328,32613.0720748,28719.9148133,607.205170452,10637.7077305,34170.2689281,11807.1643741,CNU
426,Striatum,121005.187435,64425.9366535,56579.2507818,35157.6895913,28785.0615011,483.185561084,11005.8694323,32114.8922232,13458.4891263,STR
427,Striatum dorsal region,117658.695262,59872.8528941,57785.842368,30114.1279794,29425.0687545,333.656160159,9707.38654079,30638.7822344,17439.6735928,STRd
428,Caudoputamen,117658.695262,59872.8528941,57785.842368,30114.1279794,29425.0687545,333.656160159,9707.38654079,30638.7822344,17439.6735928,CP
429,Striatum ventral region,118848.014874,66122.1812325,52725.8336416,39653.4695922,26021.5452198,447.16642062,13268.4510814,33631.1256739,5826.25688632,STRv
430,Nucleus accumbens,126450.199461,67429.4339623,59020.7654987,37887.6056989,28934.2102426,607.618020793,10731.1020408,39522.9695803,8766.69387755,ACB
431,Fundus of striatum,97139.091168,48091.7782027,49047.3129653,18660.2660592,28580.1228591,851.389284407,9383.50758716,39640.3726455,23.4327325983,FS
432,Olfactory tubercle,111459.471022,66194.1418247,45265.3291977,43814.3841582,22169.5112075,210.246458967,16779.6232066,25760.8140938,2724.89189726,OT
433,Islands of Calleja,213519.958287,155048.259081,58471.6992063,103799.316378,50789.1779155,459.764787672,20644.9220787,29947.7434679,7879.0336597,isl
434,Major island of Calleja,317063.222298,249930.659415,67132.5628824,170376.614548,77596.1930659,1957.8518015,20252.889191,28584.6363018,18295.0373895,islm
435,Olfactory tubercle molecular layer,72433.3102972,42082.9302004,30350.3800968,28641.3268832,13367.6572218,73.9460953697,15473.3932274,13843.1237042,1033.86316517,OT1
436,Olfactory tubercle pyramidal layer,135896.216216,80919.1154791,54977.1007371,54446.3882064,26268.3046683,204.422604423,20605.012285,31572.2850123,2799.8034398,OT2
437,Olfactory tubercle polymorph layer,100485.786584,50804.5044912,49681.282093,30969.1167113,19571.1558666,264.231913225,12823.2978676,33900.2915193,2957.6927061,OT3
438,Lateral septal complex,121000.275314,64982.7219409,56017.5533734,32995.8035424,31290.9238047,695.994593828,8189.0825359,27927.3503917,19901.1204458,LSX
439,Lateral septal nucleus,122825.828918,67605.1148597,55220.7140584,32985.8274203,33910.2465692,709.0408702,8458.7647202,26537.9589239,20223.9904143,LS
440,Lateral septal nucleus caudal (caudodorsal) part,112974.975626,63545.0113747,49429.9642509,27195.320117,35859.6035099,490.087747806,6014.94962626,15463.1134222,27951.9012025,LSc
441,Lateral septal nucleus rostral (rostroventral) part,124432.284821,67801.6971862,56630.5876348,33402.2586614,33639.0990876,760.339437249,8754.11216742,29402.1055318,18474.3699356,LSr
442,Lateral septal nucleus ventral part,153150.585176,89591.6775033,63558.9076723,61569.8309493,26956.5669701,1065.27958388,18084.7854356,39065.7997399,6408.32249675,LSv
443,Septofimbrial nucleus,97474.4747793,33500.4567137,63974.0180656,23516.8984066,9541.8654217,441.692885416,5108.69785852,44578.5040089,14286.8161981,SF
444,Septohippocampal nucleus,132552.763819,74422.1105528,58130.6532663,62663.3165829,10713.5678392,1045.22613065,8673.36683417,23015.0753769,26442.2110553,SH
445,Striatum-like amygdalar nuclei,146784.639681,87882.0269852,58902.6126963,57485.3062776,29106.3222783,1290.39842933,16231.4315162,41509.195578,1161.98560215,sAMY
446,Anterior amygdalar area,112832.8812,55653.1709065,57179.7102933,23674.4638378,30830.5266929,1148.1803757,10528.5355991,46642.9851052,8.189588985,AAA
447,Bed nucleus of the accessory olfactory tract,154917.508003,95409.0125585,59508.4954445,92651.0711647,1686.28416646,1071.65722728,16547.6483625,42960.847082,0.0,BA
448,Central amygdalar nucleus,146074.318745,84211.5898382,61862.7289066,39942.8765726,42760.1884685,1508.5247972,13157.8180405,45456.2588041,3248.65206198,CEA
449,Central amygdalar nucleus capsular part,133955.001907,72149.4851913,61805.5167154,31890.1741452,38988.178467,1271.13257913,10773.1028346,46741.0702936,4291.34358714,CEAc
450,Central amygdalar nucleus lateral part,173478.061458,111919.278398,61558.7830607,72761.9630026,37919.5841614,1237.73123376,19720.5320287,33707.384192,8130.86683993,CEAl
451,Central amygdalar nucleus medial part,146679.506852,84663.9504736,62015.5563786,35288.2163077,47575.8505741,1799.88359172,12871.7921583,48452.9340177,690.830202656,CEAm
452,Intercalated amygdalar nucleus,179599.691596,107230.840401,72368.8511951,55877.8720123,50065.073246,1287.89514264,11087.7409406,60091.9043948,1189.20585968,IA
453,Medial amygdalar nucleus,160048.380476,103680.320401,56368.0600751,85655.8698373,16793.4718398,1230.9787234,21912.8310388,34452.6658323,2.56320400501,MEA
454,Medial amygdalar nucleus anterodorsal part,156479.971704,93533.9994694,62945.9722345,66396.6752144,25428.2429923,1709.08126271,15987.2667787,46958.7054558,0.0,MEAad
455,Medial amygdalar nucleus anteroventral part,150973.54578,105231.379126,45742.166654,100254.631394,4296.10429214,680.643439811,24725.1658154,21017.0008386,0.0,MEAav
456,Medial amygdalar nucleus posterodorsal part,169007.189433,111834.141448,57173.0479853,94132.7537201,16593.880622,1107.50710584,27176.7262999,29985.6211336,10.7005517472,MEApd
457,Medial amygdalar nucleus posterodorsal part sublayer a,178797.294528,123002.25456,55795.0399672,103634.351301,18331.6253331,1036.2779258,31022.7505636,24772.2894036,0.0,MEApd-a
458,Medial amygdalar nucleus posterodorsal part sublayer b,166163.297289,107509.167842,58654.1294468,87790.6284281,18364.5196678,1354.01974612,24663.2189312,33990.9105156,0.0,MEApd-b
459,Medial amygdalar nucleus posterodorsal part sublayer c,159066.923571,101380.603725,57686.3198459,87421.4515093,12964.418754,994.733461785,24416.1849711,33237.251124,32.8837508028,MEApd-c
460,Medial amygdalar nucleus posteroventral part,201369.337202,153494.309306,47875.0278956,149352.376702,3856.28207989,285.650524437,37163.1332292,10711.8946664,0.0,MEApv
461,Pallidum,107924.023592,51153.1343753,56770.889217,21570.5313454,28437.2063321,1145.39669779,9040.04499328,43089.7158908,4641.12833296,PAL
462,Pallidum dorsal region,104403.614861,47942.9952769,56460.6195842,17276.5963777,29701.4838782,964.915021012,10292.2682138,40229.863513,5938.48785749,PALd
463,Globus pallidus external segment,104691.723755,48256.8836459,56434.840109,17720.8806129,29570.5380838,965.464949172,10707.011929,39053.6496769,6674.1785031,GPe
464,Globus pallidus internal segment,102849.315068,46249.6194825,56599.695586,14879.7564688,30407.9147641,961.948249619,8054.79452055,46575.3424658,1969.5585997,GPi
465,Pallidum ventral region,94425.3091708,42997.6512447,51427.6579261,15674.765022,26302.1245373,1020.76168537,8622.30128833,41795.8755365,1009.48110133,PALv
466,Substantia innominata,90515.2541448,40856.2141717,49659.0399731,13894.6507071,25978.1700481,983.393416465,8117.9417474,40502.7162424,1038.38198324,SI
467,Magnocellular nucleus,130283.998999,62636.5379805,67647.4610189,32000.0,29273.075961,1363.46201951,13247.7278412,53655.2989244,744.434253314,MA
468,Pallidum medial region,120666.933698,55920.6160869,64746.3176112,30628.0428359,23961.970692,1330.60255897,8046.49370083,45459.1101807,11240.7137297,PALm
469,Medial septal complex,115359.96275,53788.1398211,61571.8229288,27643.8620414,24805.4012705,1338.87650913,8276.44926331,42529.0185253,10766.3551402,MSC
470,Medial septal nucleus,128994.818653,55323.6529564,73671.1656965,28265.6773066,25264.8457323,1793.12991748,5384.84829101,52635.3227148,15650.9946907,MS
471,Diagonal band nucleus,106644.277556,52806.6076953,53837.6698606,27246.3847129,24511.7147569,1048.50822554,10124.8211097,36068.8574193,7643.99133149,NDB
472,Triangular nucleus of septum,173630.072193,77202.5558045,96427.5163887,60409.9244876,15544.6021077,1248.02920919,5751.55588748,74701.1866235,15974.7738777,TRS
473,Pallidum caudal region,127501.891622,68002.3339419,59499.5576804,29260.7050763,37312.3529522,1429.27591334,9651.9791451,46728.2275217,3119.35101357,PALc
474,Bed nuclei of the stria terminalis,127015.244423,67497.978168,59517.2662553,28674.551495,37396.4119601,1427.01471286,9629.46369245,46741.5662079,3146.23635501,BST
475,Bed nuclei of the stria terminalis anterior division,117822.022053,59534.2133872,58287.8086659,21089.485945,37262.9290262,1181.7984159,8445.53502097,44775.151421,5067.12222395,BSTa
476,Bed nuclei of the stria terminalis anterior division anterolateral area,110529.829919,51682.5864883,58847.2434311,16651.255858,34091.0957822,940.234848086,7225.31725554,46391.659207,5230.26696856,BSTal
477,Bed nuclei of the stria terminalis anterior division anteromedial area,115705.805048,60128.1551638,55577.6498844,29617.4378031,29426.020755,1084.69660579,9028.50410115,38692.3460371,7856.79974623,BSTam
478,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,108059.742966,43237.2351511,64822.5078152,7669.32962834,34100.7294199,1467.17610281,3467.87078847,61354.6370267,0.0,BSTdm
479,Bed nuclei of the stria terminalis anterior division fusiform nucleus,113526.37486,58217.7328844,55308.6419753,15622.8956229,41625.1402918,969.696969697,9732.88439955,45575.7575758,0.0,BSTfu
480,Bed nuclei of the stria terminalis anterior division juxtacapsular nucleus,124958.677686,58578.5123967,66380.1652893,12495.8677686,45421.4876033,661.157024793,10181.8181818,52429.7520661,3768.59504132,BSTju
481,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,136616.228571,81510.4,55105.8285714,16369.3714286,62902.8571429,2238.17142857,8718.62857143,46387.2,0.0,BSTmg
482,Bed nuclei of the stria terminalis anterior division oval nucleus,136330.318521,68139.9921353,68190.3263862,24852.5363744,42771.5296893,515.926071569,9991.34880063,48748.7219819,9450.25560362,BSTov
483,Bed nuclei of the stria terminalis anterior division rhomboid nucleus,116985.376828,61372.3284589,55613.048369,14722.15973,45408.3239595,1241.8447694,11446.5691789,43644.5444319,521.934758155,BSTrh
484,Bed nuclei of the stria terminalis anterior division ventral nucleus,126497.652582,68015.3649168,58482.2876654,16170.7212975,49522.8339735,2321.80964575,8645.32650448,49836.9611609,0.0,BSTv
485,Bed nuclei of the stria terminalis posterior division,141467.1875,80017.1875,61450.0,40598.4375,37606.25,1812.5,11490.625,49832.8125,126.5625,BSTp
486,Bed nuclei of the stria terminalis posterior division dorsal nucleus,147708.609272,101298.013245,46410.5960265,75019.8675497,23735.0993377,2543.04635762,28397.3509934,16953.6423841,1059.60264901,BSTd
487,Bed nuclei of the stria terminalis posterior division principal nucleus,152289.985052,89222.7204783,63067.264574,48720.4783259,38675.6352765,1826.60687593,13677.1300448,49273.5426009,116.591928251,BSTpr
488,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,128497.249725,69619.3619362,58877.8877888,25698.569857,42050.6050605,1870.1870187,8704.07040704,50173.8173817,0.0,BSTif
489,Bed nuclei of the stria terminalis posterior division transverse nucleus,121350.954479,56387.6651982,64963.2892805,28287.8120411,26408.2232012,1691.62995595,7212.92217327,57750.3671072,0.0,BSTtr
490,Bed nuclei of the stria terminalis posterior division strial extension,146437.941473,86119.0716448,60318.8698285,73880.9283552,10946.518668,1291.62462159,11624.6215943,47499.4954591,1194.75277497,BSTse
491,Bed nucleus of the anterior commissure,183964.757709,126519.823789,57444.9339207,97268.722467,27559.4713656,1691.62995595,12264.3171806,45180.6167401,0.0,BAC
492,Brain stem,129619.370961,60081.0592933,69538.3116676,50518.8644333,7408.54959404,2153.64526587,9899.68326006,45699.8987937,13938.7296139,BS
493,Interbrain,150639.614834,80645.7006244,69993.9142095,66591.8980517,12572.3712088,1481.43136397,10446.8295473,46269.5848235,13277.4998387,IB
494,Thalamus,152204.777056,78611.0844423,73593.6926136,69176.6176264,8202.50920336,1231.95761246,10136.0225971,43837.7639726,19619.9060439,TH
495,Thalamus sensory-motor cortex related,143036.618948,71310.6653907,71725.9535574,66145.0305646,4162.5685995,1003.06622659,10861.2385993,48486.8464738,12377.8684843,DORsm
496,Ventral group of the dorsal thalamus,137830.090053,68859.174028,68970.9160253,64419.2614695,3505.67618721,934.236371247,10078.3038343,46850.122182,12042.490009,VENT
497,Ventral anterior-lateral complex of the thalamus,135647.421409,67711.5266078,67935.8948017,62277.3782618,4641.05198274,793.096363263,12491.4731868,43275.1181426,12169.3034724,VAL
498,Ventral medial nucleus of the thalamus,133893.194101,68815.9750847,65077.2190162,63349.271778,3971.787121,1494.91618577,9828.34111936,51187.6889255,4061.18897133,VM
499,Ventral posterior complex of the thalamus,139994.454327,69436.88632,70557.5680073,65770.9687834,2817.10042352,848.817113085,8957.75539532,47413.4248327,14186.3877793,VP
500,Ventral posterolateral nucleus of the thalamus,128551.54838,60916.0505005,67635.497879,53235.1491374,6930.83848901,750.062874101,7635.83320759,50068.574686,9931.08998541,VPL
501,Ventral posterolateral nucleus of the thalamus parvicellular part,116615.580556,52697.0919125,63918.4886436,49626.8308215,2146.46571853,923.795372532,6344.30057313,53267.6714073,4306.51666313,VPLpc
502,Ventral posteromedial nucleus of the thalamus,149136.741061,76151.0919126,72985.6491481,75023.7580994,247.276217903,880.057595392,10013.9188865,45680.825534,17290.9047276,VPM
503,Ventral posteromedial nucleus of the thalamus parvicellular part,142985.487484,72116.1001266,70869.3873576,70894.3216129,87.2698938346,1134.50861985,9263.07587416,43366.903672,18239.4078114,VPMpc
504,Subparafascicular nucleus,155898.782278,79479.0569134,76419.7253649,68269.7987736,9244.32161672,1964.93652302,8155.45383885,56853.2688488,11411.0026773,SPF
